Sistema,Remitente,Identificador,2025-09-11,2025-09-10,2025-09-09,2025-09-08,2025-09-07,2025-09-06,2025-09-05,2025-09-04,2025-09-03,2025-09-02,2025-09-01,2025-08-31,2025-08-30,2025-08-29,2025-08-28,2025-08-27,2025-08-26,2025-08-25,2025-08-24,2025-08-23,2025-08-22,2025-08-21,2025-08-20,2025-08-19,2025-08-18
Almazán-1,windcubeinsights@vaisala.info,WLS71516,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Almazán-4B,windcubeinsights@vaisala.info,WLS7-227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almodôvar 5,windcubeinsights@vaisala.info,WLS71487,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Altkalen-Lelkendorf ,windcubeinsights@vaisala.info,WLS71628,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ankum,windcubeinsights@vaisala.info,WLS72102,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ANVO-A,windcubeinsights@vaisala.info,WLS72051,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arrebol,windcubeinsights@vaisala.info,WLS71585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baccum,windcubeinsights@vaisala.info,WLS72099,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Balve,windcubeinsights@vaisala.info,WLS72237,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CARC-A,windcubeinsights@vaisala.info,WLS72066,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Carril,windcubeinsights@vaisala.info,WLS72116,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cerecol II ,windcubeinsights@vaisala.info,WLS71628,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
